Timestamp,Your age,How many months or years have you attended the church?,Your gender,In Your Opinion... [I feel like I am a part of the congregation.],In Your Opinion... [I feel connected to others as I worship here.],In Your Opinion... [People help each other and pray for one another.],In Your Opinion... [There is a strong sense of unity within our church.],In Your Opinion... [Our church ministers to the needs of people in our community.],In Your Opinion... [I am/or have grown spiritually as a result of attending here.],In Your Opinion... [The preaching of God’s word in our church is clear.],In Your Opinion... [Our worship services inspire genuine heartfelt praise.],2.	What aspect of this church do you like that you haven’t been able to find or have experienced at another church? ,"3.	If you have visited other churches, what did you like there that our church does not offer? ",4.	What is the most important reason you attend this church?,5.	In what areas do you believe the church could use the most improvement? (Choose only three),"6.	Concerning an incoming pastor, what ministry experience do you believe is most important? (Choose only two)",7.	Where do you envision our church in five years?,8.	Would you recommend this church to a friend? Why or why not?,9.	What else would you like the search committee to consider? 
2020/10/28 3:54:17 PM EST,64,15 years,Female,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,There are many people in our congregation who are willing to have the difficult conversations that lead to better understanding of and growth in God's word.,"Fewer songs, more prayer and sharing testimony.",fellowship community,impression and attendance;reaching younger generation;building community,prayer ministry;church growth,Having a much larger congregation with more young families; being an anchor in the Huber Heights community.,"Yes, because I believe in our mission and in our future.","Our next pastor should have the support of a spouse who is willing to also be part of ministering to our church and to our community. This pastor should have a special gift for connecting with people of all ages, and be willing/able to draw younger families to HHCOG."
2020/10/28 4:10:40 PM EST,65,Off and on for over 40 years.,male,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A sense of family.,More sharing about outreach and what's going on with missions and individuals. More opportunities for informal and fun fellowships.,fellowship community,impression and attendance;reaching younger generation;communication,young families;church growth,Doubled in size of congregation. With more established community outreach programs. Expanded programs for children and young families.,"Yes, because I think this church has a family feel that I expect to only get better.",We  already have a great choice in Dwight Bruggeman (and his family).
2020/10/29 4:47:50 PM EST,50,5 Years,male,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Nothing unique about our church,"Energy during worship, true community outreach",location;Other,building community;outreach and evangelism;preaching,Other,Very small attendance,No.  More energy somewhere else.,
2020/10/30 12:25:19 PM EST,63,2 years,Female,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I live in Cincinnati so M unable to attend Sunday services regularly.,I was raised Catholic and love what both The catholic church and the church of God have to offer!,because of family/friends,building community;outreach and evangelism;communication,prayer ministry;missions and outreach,Close knit and active,"Yes, to suggest getting involved.","Dwight Bruggleman to be the pastor ! He has many gifts that the church can use to become a more vibrant, compassionate, caring church!"
2020/10/31 4:15:16 PM EST,,,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,,,,,,,,"Three times we have asked a pastor to pray over someone in our family.  The first time they agreed, then when Sunday came they forgot.  The second and third time we asked, we never got a response back.  This past week a pastor posted on Facebook James 5:14.  We did this, and it didn't happen."
2020/10/31 4:24:54 PM EST,52,6 years,male,,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,The spirit,The spirit,fellowship community;location;Other,reaching younger generation;outreach and evangelism;visitation;Other,young families;missions and outreach,Closed,NO!!! Don't have anything to offer the men. Don't seem to have very much for the youth.,Age 35-45 and have a family with some kids still at home.
2020/11/01 5:04:24 PM EST,,6 yrs,Female,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,,more active in the community and more activities for youth,Other,impression and attendance;reaching younger generation;outreach and evangelism,young families;discipleship;missions and outreach,Still,no nothing for the youth to do and no outreach in the community,
2020/11/02 1:38:07 PM EST,62,5 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,That people genuinely care about one another and always willing to help,I haven't found anything at other churches that I like better than HHCG,fellowship community;love of preaching;love of music,reaching younger generation;visitation;communication,small groups;discipleship,"All aspects of our church have grown, ie small groups, youth, children ministry","Yes, This church is very friendly to new people making them feel wanted",To find a minister that is down to earth and preaches directly from the bible
2020/11/02 1:38:42 PM EST,50,14 years,Female,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Unsure,"Options for small or life groups. 
Good communication about the life of the church. ",because of family/friends,visitation;preaching;communication,discipleship;church growth,"Filled with more people of all ages. 
Excitement and positive attitudes. ",Not really.,"Age of a pastor does not always matter. An older pastor can grow the church and reach young families. A younger pastor can minister to the elderly. 
Let's not leave the elderly behind. "
2020/11/02 2:14:02 PM EST,27,20 years,male,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,"I appreciate the prayerfulness of this church. I also like that this church feels like one big family. Just like any family, there are disagreements and divisions. But at the end of the day, I feel like the members of this church can put those aside and still love each other.","I have liked other churches that have very cutting edge and engaging worship services, and it is something I feel we are still lacking in. Other successful churches I have been to have had really impactful, forward-thinking pastors with action-oriented messages. That is never something we have had here that I would love to see.",raised in this church/long history,impression and attendance;reaching younger generation;preaching,discipleship;church growth,"In five years I would like to see this church flip its focus from prioritizing the wants of the people regularly in the pews to prioritizing the people that have yet to visit us and focus on the new faces that do come in our doors. There should be a clear and established pathway for new people to fit into the mold and get involved with the church. I'd like to see the church establish and communicate a solid vision and tangible goals to the congregation. In five years, we can easily establish core pillars of faith and communicate what it means to be a part of the HHCOG community. Relationship building and deeper spiritual development can certainly be tangible in our congregation over the next five years with the development of a strong adult small group program and discipleship programs.","No. Most of my friends look to get two things out of a church: modern contemporary worship service and a place to nourish deeper spiritual growth. Unfortunately, I cannot say we offer either at the moment.",Please do not be clouded by self-righteousness. Read Luke 18:9-14.
